,Rating,Review Date,Location,Username,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,title,IsPromoReview,subtitle,colorDescription,fullPrice,discounted,employeePrice,currentPrice,isLaunch,pid,label
1613,5,"Nov 14, 2022",Las Vegas,Location,"Great shopping experience!
Great place to shop !!! Everyone is very helpful. Lots of gear to choose from.
Los Dog
Nov 14, 2022
Location
Las Vegas
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1614,5,"Nov 14, 2022",Las Vegas,Location,"Great shopping experience!
Great place to shop !!! Everyone is very helpful. Lots of gear to choose from.
Los Dog
Nov 14, 2022
Location
Las Vegas
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1615,5,"Nov 14, 2022",,VelE,"Lakers 1s
Looks even better in person.. colors are really bold
VelE
Nov 14, 2022
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1616,5,"Nov 14, 2022",,VelE,"Lakers 1s
Looks even better in person.. colors are really bold
VelE
Nov 14, 2022
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1617,5,"Nov 14, 2022",,VelE,"Lakers 1s
Looks even better in person.. colors are really bold
VelE
Nov 14, 2022
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1618,5,"Nov 14, 2022",,VelE,"Lakers 1s
Looks even better in person.. colors are really bold
VelE
Nov 14, 2022
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1619,5,"Nov 14, 2022",,VelE,"Lakers 1s
Looks even better in person.. colors are really bold
VelE
Nov 14, 2022
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1620,5,"Nov 14, 2022","Baltimore, MD",Location,"Very stylish and comfortable, shipping was Great
Great shoe, love the colors , I have five more pai
Sir Smokes Alot
Nov 14, 2022
Location
Baltimore, MD
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
1621,5,"Nov 14, 2022","Baltimore, MD",Location,"Very stylish and comfortable, shipping was Great
Great shoe, love the colors , I have five more pai
Sir Smokes Alot
Nov 14, 2022
Location
Baltimore, MD
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Men's Shoes,University Blue/White/Black,125,False,75.0,125.0,False,1012356738,IN_STOCK
1622,5,"Nov 14, 2022","Baltimore, MD",Location,"Very stylish and comfortable, shipping was Great
Great shoe, love the colors , I have five more pai
Sir Smokes Alot
Nov 14, 2022
Location
Baltimore, MD
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Action Grape/Sail/Sky J Light Purple,125,False,75.0,125.0,False,1012356868,IN_STOCK
1623,5,"Nov 14, 2022","Baltimore, MD",Location,"Very stylish and comfortable, shipping was Great
Great shoe, love the colors , I have five more pai
Sir Smokes Alot
Nov 14, 2022
Location
Baltimore, MD
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Women's Shoes,Lemon Wash/White/Lapis,125,True,60.58,100.97,False,1003839142,IN_STOCK
1624,5,"Nov 14, 2022","Baltimore, MD",Location,"Very stylish and comfortable, shipping was Great
Great shoe, love the colors , I have five more pai
Sir Smokes Alot
Nov 14, 2022
Location
Baltimore, MD
Originally posted at Hibbett Sports
1
0
Flag",,,,Air Jordan 1 Mid,False,Shoes,White/White/White,125,False,75.0,125.0,False,14248558,IN_STOCK
1625,5,"Nov 13, 2022",TENNESSEE,sdun74,"Great colorway
 These are the perfect shoes to wear with your Lakers gear.
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
sdun74
Nov 13, 2022
Location
TENNESSEE
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Mid,True,Men's Shoes,Lucky Green/White/Black,125,True,60.58,100.97,False,1010128831,IN_STOCK
